Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Assets,US,"31.440.286,89","33.937.623,29","30.899.865,79","29.590.096,46","31.440.286,89"
Direct investment,US,"9.150.284,00","10.298.096,00","8.884.283,00","8.193.321,00","9.150.284,00"
Equity and investment fund shares,US,"7.942.730,00","9.095.096,00","7.663.549,00","7.014.789,00","7.942.730,00"
Debt instruments,US,"1.207.554,00","1.203.000,00","1.220.734,00","1.178.533,00","1.207.554,00"
Direct investor in direct investment enterprises,US,"726.421,00","718.154,00","734.516,00","709.167,00","726.421,00"
Direct investment enterprises in direct investor (reverse investment),US,"481.132,00","484.846,00","486.218,00","469.366,00","481.132,00"
Portfolio investment,US,"14.024.125,00","15.513.944,00","13.821.086,00","12.901.498,00","14.024.125,00"
Equity and investment fund shares,US,"10.279.726,00","11.465.265,00","9.997.741,00","9.192.407,00","10.279.726,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"154.935,00","199.813,00","167.869,00","153.531,00","154.935,00"
General government,US,"0,00","0,00","0,00","0,00","0,00"
Other sectors,US,"10.124.791,00","11.265.452,00","9.829.872,00","9.038.876,00","10.124.791,00"
of which: other financial corporations,US,"8.671.283,00","9.717.970,00","8.464.372,00","7.751.670,00","8.671.283,00"
Debt securities,US,"3.744.399,00","4.048.679,00","3.823.345,00","3.709.091,00","3.744.399,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"318.923,00","332.632,00","346.141,00","342.864,00","318.923,00"
General government,US,"0,00","0,00","0,00","0,00","0,00"
Other sectors,US,"3.425.476,00","3.716.047,00","3.477.204,00","3.366.227,00","3.425.476,00"
Financial derivatives (other than reserves) and employee stock options,US,"2.543.343,00","2.254.847,00","2.405.663,00","2.826.939,00","2.543.343,00"
Other investment,US,"5.015.621,00","5.125.747,00","5.086.209,00","5.012.135,00","5.015.621,00"
Other equity,US,"73.112,00","71.234,00","72.561,00","72.656,00","73.112,00"
Debt instruments,US,"4.942.509,00","5.054.513,00","5.013.648,00","4.939.479,00","4.942.509,00"
Central bank,US,"412,00","366,00","347,00","300,00","412,00"
"Deposit-taking corporations, except the central bank",US,"2.236.100,00","2.173.147,00","2.188.451,00","2.166.973,00","2.236.100,00"
General government,US,"30.931,00","30.925,00","30.987,00","30.623,00","30.931,00"
Other sectors,US,"2.675.065,00","2.850.076,00","2.793.864,00","2.741.582,00","2.675.065,00"
Reserve assets,US,"706.914,89","744.988,29","702.624,79","656.202,46","706.914,89"
Monetary gold,US,"474.294,00","507.871,00","475.144,00","437.161,00","474.294,00"
Special drawing rights,US,"160.537,43","163.131,13","158.195,49","153.175,21","160.537,43"
Reserve position in the fund,US,"34.970,46","34.799,16","33.065,30","32.001,25","34.970,46"
Other reserve assets,US,"37.112,00","39.187,00","36.219,00","33.865,00","37.112,00"
Liabilities,US,"47.704.194,23","52.278.122,99","47.540.616,48","46.449.421,48","47.704.194,23"
Direct investment,US,"12.235.184,00","14.188.536,00","12.073.127,00","11.534.369,00","12.235.184,00"
Equity and investment fund shares,US,"10.466.919,00","12.457.231,00","10.363.441,00","9.778.479,00","10.466.919,00"
Debt instruments,US,"1.768.264,00","1.731.305,00","1.709.686,00","1.755.890,00","1.768.264,00"
Direct investor in direct investment enterprises,US,"952.458,00","932.855,00","927.859,00","951.343,00","952.458,00"
Direct investment enterprises in direct investor (reverse investment),US,"815.806,00","798.451,00","781.827,00","804.547,00","815.806,00"
Portfolio investment,US,"24.715.235,00","27.671.650,00","24.958.375,00","23.938.597,00","24.715.235,00"
Equity and investment fund shares,US,"12.126.970,00","14.347.331,00","12.185.954,00","11.532.884,00","12.126.970,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"232.578,00","262.359,00","173.716,00","192.381,00","232.578,00"
General government,US,"0,00","0,00","0,00","0,00","0,00"
Other sectors,US,"11.894.393,00","14.084.972,00","12.012.238,00","11.340.503,00","11.894.393,00"
of which: other financial corporations,US,"3.985.481,00","4.282.290,00","3.946.207,00","3.697.925,00","3.985.481,00"
Debt securities,US,"12.588.264,00","13.324.318,00","12.772.420,00","12.405.712,00","12.588.264,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"395.261,00","436.318,00","390.757,00","419.673,00","395.261,00"
